MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
12,2017,12/26/2017,,,Nest,Secure,-3.072241,126.548833
12,2017,12/26/2017,,,False_Crawls,Non_Nesting,-3.072478,126.553823
12,2017,12/28/2017,,,Nest,Secure,-3.071912,126.56579
12,2017,12/28/2017,,,Nest,Secure,-3.065068,126.605113
1,2018,1/2/2018,,,Nest,Secure,-3.069185,126.618546
1,2018,1/2/2018,,,Nest,Secure,-3.069185,126.618546
1,2018,1/7/2018,,,Nest,Secure,-3.072485,126.546652
1,2018,1/7/2018,,,Nest,Secure,-3.072485,126.546652
1,2018,1/12/2018,,,Nest,Secure,-3.071956,126.566932
1,2018,1/13/2018,,,Nest,Lost,-3.071917,126.562515
1,2018,1/16/2018,,,Nest,Secure,-3.069529,126.622228
1,2018,1/22/2018,,,Nest,Secure,-3.072389,126.554573
1,2018,1/25/2018,,,False_Crawls,Non_Nesting,-3.072479,126.544201
3,2018,3/14/2018,,,Nest,Secure,-3.068627,126.588761
3,2018,3/24/2018,,,Nest,Secure,-3.071441,126.570726
5,2018,5/22/2018,,,False_Crawls,Non_Nesting,-3.070053,126.628059
5,2018,5/25/2018,,,Nest,Secure,-3.072171,126.558237
6,2018,6/1/2018,,,Nest,Secure,-3.068677,126.614743
6,2018,6/1/2018,23,30,Nesting_Individu,Secure,-3.068701,126.614777
6,2018,6/3/2018,3,25,Nesting_Individu,Secure,-3.069645,126.623427
6,2018,6/6/2018,,,Nest,Secure,-3.072087,126.560807
6,2018,6/10/2018,,,Nest,Secure,-3.069132,126.618297
6,2018,6/10/2018,,,Nest,Lost,-3.069585,126.622926
6,2018,6/15/2018,,,Nest,Secure,-3.067919,126.61141
6,2018,6/21/2018,,,Nest,Secure,-3.069121,126.587591
6,2018,6/21/2018,,,Nest,Secure,-3.069728,126.582455
6,2018,6/28/2018,,,Nest,Secure,-3.069555,126.622222
6,2018,6/29/2018,,,Nest,Secure,-3.065613,126.595394
6,2018,6/30/2018,,,Nest,Secure,-3.069766,126.584877
7,2018,7/12/2018,,,Nest,Secure,-3.072373,126.553229
7,2018,7/20/2018,,,Nest,Secure,-3.069851,126.626362
8,2018,8/2/2018,21,30,Nesting_Individu,Secure,-3.069165,126.619047
8,2018,8/1/2018,,,Nest,Secure,-3.070396,126.577756
8,2018,8/6/2018,,,Nest,Secure,-3.07193,126.566844
9,2018,9/1/2018,,,Nest,Secure,-3.069265,126.62018
10,2018,10/9/2018,,,Nest,Lost,-3.065208,126.605353
10,2018,10/10/2018,,,False_Crawls,Non_Nesting,-3.072537,126.54403
10,2018,10/10/2018,,,Nest,Secure,-3.071948,126.56491
10,2018,10/20/2018,,,Nest,Secure,-3.072026,126.561666
